glottocode,name,replacement,relation
cent2031,Central Narrow Bantu,narr1281,
germ1244,German,west2793,
west2713,West Chadic B B.3,west2800,
haus1237,Hausa based pidgin,pidg1250,
nort2788,Northern Benue-Congo Plateau,nort3169,
sout2861,Southern New Caledonian,sout3189,
papu1252,Papuan Tip,papu1253,
narr1260,Narrow Bantu,narr1281,
hkon1235,H-Kongo (H.10),core1256,
sion1246,Siona-Secoya,sion1248,
nucl1543,Nuclear Cordilleran,nucl1745,
narr1274,Narrow Bantu C,narr1281,
balt1256,Baltic,balt1263,
engl1244,English based pidgin,pidg1250,
prea1239,Pre-Andine,prea1240,
wape1246,Wapei-Palei,wape1248,
dusu1274,Dusun,sout3154,
sono1244,Sonoran,uncl1458,
kele1256,Kele (B.20),narr1281,
wide1238,Wide Grassfields,narr1282,
west2762,Western Aramaic,west2815,
cend1237,Cenderawasih Bay,sout2850,
algo1254,Algonquian,algo1256,
cent2038,Center Ring,cent2275,
cent2085,Central Philippine,cent2246,
east2301,East Middle German,high1287,
west2521,Western Oceanic,west2818,
egyp1252,Egypto-Sudanic Arabic,egyp1254,
mayo1268,Mayoruna Branch,mayo1277,
bium1272,Biu-Mandara A A.5,bium1280,
east2559,Eastern Tucanoan,east2698,
nunu1250,Nunusaku,nunu1252,
bisa1266,Bisayan,bisa1268,
naga1396,Naga,naga1409,
adel1245,Adelbert Range,nucl1709,
asil1241,Asiluluic,piru1243,
kart1246,Kartu,kart1250,
west2470,Western Kainji,kain1275,
gogo1262,Gogo (G.10),ruvu1235,
xara1242,Xaracuu-Xaragure,sout3189,
soma1254,Somalic,soma1256,
pala1349,Palawanic,pala1354,
uncl1281,Unclassified Western Hindi,uncl1475,
song1302,Songye (L.20),cent2260,
meso1243,Meso Melanesian,meso1253,
fars1253,Fars,sout3157,
araw1275,Arawakan,araw1281,
sout2769,Southern-Eastern Yolngu,sout3149,
suga1247,Nizaa-Vute,niza1234,
lega1248,Lega,lega1253,
pano1252,Panoan,pano1256,
guto1243,Gutob-Remo-Geta',sout3137,
guar1291,Guarani I,tupi1277,
sera1264,Seram Straits,sera1270,
noth1239,Nothern Yolngu,yuul1239,
west2468,Western Benue-Congo Plateau,west2801,
teke1273,Teke (B.70),teke1283,
jera1239,Jera,nort3210,
macr1264,Macro-Dutch,wese1235,
burm1260,Burmish,burm1266,
nort2609,Northern Italo-Romance,gall1279,
mani1296,Maninka-Mori,mani1303,
iwai1243,Iwaidjan Proper,iwai1245,
grus1238,Grusi,grus1239,
norm1246,Norman Pama,norm1247,
aust1303,Austronesian,mala1535,
lavo1240,Lavongai-Nalik,newi1241,
holu1244,Holu (K.10),holu1246,
uban1242,Ubangi,uban1244,
tami1286,Tamil-Toda,tami1293,
uncl1442,Unclassied Lower Ramu,lowe1437,
wara1298,Warayan,wara1304,
sham1279,Shambala (G.20),nort3209,
east2647,East Chadic A A.2 1,east2645,
bium1277,Biu-Mandara B,bium1280,
kora1293,Korap,kora1297,
bium1278,Biu-Mandara B B.1,bium1280,
yanz1242,Yanzi (B.80),yanz1243,
mara1403,Maranao-Iranon,dana1253,
cent2216,Central Semitic,cent2236,
sene1262,Senegambian,nort3148,
samo1300,Samogo-Soninke,nucl1721,
gizi1242,Giziga,maro1246,
atla1269,Atlantic,atla1278,
worr1235,Worrorran,worr1236,
jola1260,Jola,nucl1345,
sout2685,South Munda,sout3137,
east2319,East Indo-Aryan Central zone,subc1234,
yupn1241,Yupna,yupn1242,
sawa1250,Sawai-Nuaulu,nunu1252,
tara1320,Taracahitic,sout3136,
rame1239,Ramelaic,cent2245,
daga1270,Dagaari-Birifor,daga1276,
telu1261,Telugoid,telu1265,
arab1289,Arabian,arab1395,
adam1255,Adamawa-Ubangi,adam1258,
atla1276,Atlantic creole languages,guin1259,
engl1285,English-lexified creole languages,guin1259,
bima1246,Bima-Sumba,flor1240,
comm1244,Common Turkic,comm1245,
merc1241,Mercian,merc1242,
nucl1697,Nuclear Angas,west2717,
ngom1267,Ngombe (C.50),narr1281,
komb1270,Kombio-Arapesh,nucl1708,
umir1235,Umiray Dumaget,cent2246,
nucl1400,Nuclear Lusengo,ngir1248,
narr1269,Narrow Bantu L,narr1281,
gahu1245,Gahuku-Benabena,goro1272,
jehi1235,Jehic,jehh1244,
dibi1239,Dibiyaso-Doso-Turumsa,doso1238,
narr1267,Narrow Bantu M,east2731,
mbul1257,Mbulungish-Nalu,atla1278,
uncl1432,Unclassified Daic,daic1237,
bube1241,Bube-Benga (A.30),narr1281,
tulu1257,Tulu-Bellari,tulu1262,
mote1236,Motembo-Kunda-Buja,ngir1248,
west2444,Western (Nyulnyulan),west2782,
greb1255,Grebo,greb1257,
wana1270,Wanang,soge1234,
nort2988,Northern Eastern Tucanoan,east2702,
bara1379,Bara (Tucanoan),east2702,
tulu1256,Tulu-Koraga,tulu1261,
ngun1269,Ngundi (C.20),liko1251,
raja1249,Rajasthani-Unclassified,subc1234,
emil1240,Emiliano-Romagnolo,gall1279,
juku1251,Jukunoid,juku1257,
suau1241,Suauic,suau1243,
nort2764,Northern Bullom,nort3167,
bemb1254,Bembe (D.50),bemb1260,
maxi1235,Maxi-Fon,east2711,
mamb1302,Mambila,mamb1312,
raja1251,Rajasthani-Marwari,raja1256,
waru1268,Warup,waru1269,
jeja1235,Je-Jabuti,nucl1710,
nucl1325,Nuclear Hmongic-Ho Ne,nucl1720,
aram1258,Aramaic,aram1259,
iria1238,Irian Highlands,nucl1709,
east2377,Eastern Maric,east2716,
kwav1235,Kwa Volta-Congo,kwav1236,
brah1258,Brahman,nucl1709,
jola1261,Jola Central,nucl1345,
east2692,Eastern Caribbean,east2759,
