ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,LL_Code,Classification,Family_Glottocode,Family_Name,Language_Glottocode,Language_Name,Level,Status
suba1238,Suba,Africa,-0.95719,34.1033,suba1238,sxb,sxb,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/east2750/nyan1318/nort3227,atla1278,Atlantic-Congo,suba1238,Suba,language,not endangered
suba1252,Suba-Simbiti,Africa,-1.103296,34.268,suba1252,ssc,ssc,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/east2750/nyan1318/nort3227,atla1278,Atlantic-Congo,suba1252,Suba-Simbiti,language,threatened
gusi1247,Gusii,Africa,-0.78872,34.76751,gusi1247,guz,guz,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/east2750/nyan1318/nort3227,atla1278,Atlantic-Congo,gusi1247,Gusii,language,not endangered
kuri1259,Kuria,Africa,-1.50636,34.5049,kuri1259,kuj,kuj,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/east2750/nyan1318/nort3227,atla1278,Atlantic-Congo,kuri1259,Kuria,language,not endangered
rier1234,Rieri,Africa,,,rier1234,,,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/east2750/nyan1318/nort3227/suba1252,atla1278,Atlantic-Congo,suba1252,Suba-Simbiti,dialect,
surw1234,Surwa,Africa,,,surw1234,,,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/east2750/nyan1318/nort3227/suba1252,atla1278,Atlantic-Congo,suba1252,Suba-Simbiti,dialect,
kiro1241,Kiroba,Africa,,,kiro1241,,kuj-kir,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/east2750/nyan1318/nort3227/suba1252,atla1278,Atlantic-Congo,suba1252,Suba-Simbiti,dialect,
swet1238,Sweta,Africa,,,swet1238,,kuj-swe,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/east2750/nyan1318/nort3227/suba1252,atla1278,Atlantic-Congo,suba1252,Suba-Simbiti,dialect,
simb1253,Simbiti,Africa,,,simb1253,,kuj-sim,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/east2750/nyan1318/nort3227/suba1252,atla1278,Atlantic-Congo,suba1252,Suba-Simbiti,dialect,
hach1240,Hacha,Africa,,,hach1240,,,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/east2750/nyan1318/nort3227/suba1252,atla1278,Atlantic-Congo,suba1252,Suba-Simbiti,dialect,
bwir1238,Iregi,Africa,,,bwir1238,,kuj-bwi,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/east2750/nyan1318/nort3227/suba1252,atla1278,Atlantic-Congo,suba1252,Suba-Simbiti,dialect,
kine1234,Kine,Africa,,,kine1234,,,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/east2750/nyan1318/nort3227/suba1252,atla1278,Atlantic-Congo,suba1252,Suba-Simbiti,dialect,
bugu1247,Bugumbe,Africa,,,bugu1247,,kuj-bug,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/east2750/nyan1318/nort3227/kuri1259,atla1278,Atlantic-Congo,kuri1259,Kuria,dialect,
nyab1253,Nyabasi,Africa,,,nyab1253,,kuj-nya,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/east2750/nyan1318/nort3227/kuri1259,atla1278,Atlantic-Congo,kuri1259,Kuria,dialect,
buki1246,Bukira,Africa,,,buki1246,,kuj-buk,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/east2750/nyan1318/nort3227/kuri1259,atla1278,Atlantic-Congo,kuri1259,Kuria,dialect,
zana1238,Zanaki,Africa,-2.26367,34.0542,zana1238,zak,zak,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/east2750/nyan1318/sout3201,atla1278,Atlantic-Congo,zana1238,Zanaki,language,not endangered
ngur1263,Ngoreme,Africa,-1.8485,34.6173,ngur1263,ngq,ngq,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/east2750/nyan1318/sout3201,atla1278,Atlantic-Congo,ngur1263,Ngoreme,language,not endangered
ikiz1238,Ikizu,Africa,-1.9915,34.3589,ikiz1238,ikz,ikz-iki;ikz,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/east2750/nyan1318/sout3201,atla1278,Atlantic-Congo,ikiz1238,Ikizu,language,not endangered
ikom1247,Ikoma-Nata-Isenye,,,,ikom1247,,,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/east2750/nyan1318/sout3201,atla1278,Atlantic-Congo,,,family,
sior1238,Siora,Africa,,,sior1238,,zak-sio,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/east2750/nyan1318/sout3201/zana1238,atla1278,Atlantic-Congo,zana1238,Zanaki,dialect,
gira1246,Girango,Africa,,,gira1246,,zak-gir,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/east2750/nyan1318/sout3201/zana1238,atla1278,Atlantic-Congo,zana1238,Zanaki,dialect,
ndal1242,Ndali (Zanaki),Africa,,,ndal1242,,,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/east2750/nyan1318/sout3201/zana1238,atla1278,Atlantic-Congo,zana1238,Zanaki,dialect,
mwib1234,Mwibara,Africa,,,mwib1234,,,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/east2750/nyan1318/sout3201/ngur1263,atla1278,Atlantic-Congo,ngur1263,Ngoreme,dialect,
rogo1240,Rogoro,Africa,,,rogo1240,,,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/east2750/nyan1318/sout3201/ngur1263,atla1278,Atlantic-Congo,ngur1263,Ngoreme,dialect,
nucl1788,Nuclear Ikizu,Africa,,,nucl1788,,,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/east2750/nyan1318/sout3201/ikiz1238,atla1278,Atlantic-Congo,ikiz1238,Ikizu,dialect,
siza1240,Sizaki,Africa,,,siza1240,szk,,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/east2750/nyan1318/sout3201/ikiz1238,atla1278,Atlantic-Congo,ikiz1238,Ikizu,dialect,
ikom1245,Ikoma-Nata,Africa,-1.94989,34.5361,ikom1245,ntk,ntk,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/east2750/nyan1318/sout3201/ikom1247,atla1278,Atlantic-Congo,ikom1245,Ikoma-Nata,language,threatened
isse1238,Isenye,Africa,-2.019886,34.413574,isse1238,,ntk-iss,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/east2750/nyan1318/sout3201/ikom1247,atla1278,Atlantic-Congo,isse1238,Isenye,language,threatened
nata1256,Nata,Africa,,,nata1256,,,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/east2750/nyan1318/sout3201/ikom1247/ikom1245,atla1278,Atlantic-Congo,ikom1245,Ikoma-Nata,dialect,
ikom1246,Ikoma,Africa,,,ikom1246,,,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/east2750/nyan1318/sout3201/ikom1247/ikom1245,atla1278,Atlantic-Congo,ikom1245,Ikoma-Nata,dialect,
kabw1241,Kabwa,Africa,-1.7124,34.3923,kabw1241,cwa,,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/east2750/nyan1318/unun9920,atla1278,Atlantic-Congo,kabw1241,Kabwa,language,shifting
jita1239,Jita,Africa,-1.62681,33.9141,jita1239,jit,jit,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/east2750/sugu1245,atla1278,Atlantic-Congo,jita1239,Jita,language,not endangered
kway1241,Kwaya,Africa,-1.80737,33.71,kway1241,kya,kya,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/east2750/sugu1245,atla1278,Atlantic-Congo,kway1241,Kwaya,language,not endangered
kara1481,Kara (Tanzania),Africa,-1.83511,33.0488,kara1481,reg,reg,atla1278/volt1241/benu1247/bant1294/sout3152/narr1281/east2731/nort3203/grea1289/east2750/sugu1245,atla1278,Atlantic-Congo,kara1481,Kara (Tanzania),language,shifting
